LengdeVvekst;LengdeValder;vekstaar;vekstalder;alder_aar;ID;tilv_lengde;klima;loknr;moh;lpnr;dato;aar;periode;navn;alder;lengde;vekt;kjonn;moden;moden1;tilvekstalder;tilvekst;inst_vekst;CPUE;Temp_mai;Temp_juni;Temp_juli;nedbor_mai;nedbor_juni;nedbor_juli;tempratur;nedbor;NaoV;Column1;_1;_2;_3;_4;_5
241.08;10;2007;6;7;1;Tilvekst;3;18;654;1;17.09.2008;2008;1;Aktejaevrie;7;261;197.6;2;0;0;Tillvekst_6-7;15.94;0.419786876;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;39.85;2001;0;1;1;Tilvekst;3;18;654;1;17.09.2008;2008;1;Aktejaevrie;7;261;197.6;2;0;0;Tillvekst_0-1;39.85;1.600428326;4.52381;4.68;9.723333333;12.45666667;48.3;44.2;175.7;9.875539568;477.9;-0.5;;;;;;
39.85;101.61;2002;1;2;1;Tilvekst;3;18;654;1;17.09.2008;2008;1;Aktejaevrie;7;261;197.6;2;0;0;Tillvekst_1-2;61.76;1.253999582;4.52381;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
101.61;157.4;2003;2;3;1;Tilvekst;3;18;654;1;17.09.2008;2008;1;Aktejaevrie;7;261;197.6;2;0;0;Tillvekst_2-3;55.79;1.094705678;4.52381;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
157.4;185.29;2004;3;4;1;Tilvekst;3;18;654;1;17.09.2008;2008;1;Aktejaevrie;7;261;197.6;2;0;0;Tillvekst_3-4;27.89;1.032247201;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
185.29;215.18;2005;4;5;1;Tilvekst;3;18;654;1;17.09.2008;2008;1;Aktejaevrie;7;261;197.6;2;0;0;Tillvekst_4-5;29.89;1.028639401;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
215.18;241.08;2006;5;6;1;Tilvekst;3;18;654;1;17.09.2008;2008;1;Aktejaevrie;7;261;197.6;2;0;0;Tillvekst_5-6;25.9;1.021158796;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
10;47.83;2002;0;1;2;Tilvekst;3;18;654;2;17.09.2008;2008;1;Aktejaevrie;6;220;128.5;1;0;0;Tillvekst_0-1;47.83;1.679700381;4.52381;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
47.83;83.7;2003;1;2;2;Tilvekst;3;18;654;2;17.09.2008;2008;1;Aktejaevrie;6;220;128.5;1;0;0;Tillvekst_1-2;35.87;1.144683588;4.52381;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
83.7;121.96;2004;2;3;2;Tilvekst;3;18;654;2;17.09.2008;2008;1;Aktejaevrie;6;220;128.5;1;0;0;Tillvekst_2-3;38.26;1.085031358;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
121.96;155.43;2005;3;4;2;Tilvekst;3;18;654;2;17.09.2008;2008;1;Aktejaevrie;6;220;128.5;1;0;0;Tillvekst_3-4;33.48;1.050482481;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
155.43;186.52;2006;4;5;2;Tilvekst;3;18;654;2;17.09.2008;2008;1;Aktejaevrie;6;220;128.5;1;0;0;Tillvekst_4-5;31.09;1.036134748;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
186.52;10;2007;5;6;2;Tilvekst;3;18;654;2;17.09.2008;2008;1;Aktejaevrie;6;220;128.5;1;0;0;Tillvekst_5-6;28.7;0.440387903;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;32.97;2002;0;1;3;Tilvekst;3;18;654;3;17.09.2008;2008;1;Aktejaevrie;6;200;97.3;2;0;0;Tillvekst_0-1;32.97;1.518118947;4.52381;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
32.97;63.74;2003;1;2;3;Tilvekst;3;18;654;3;17.09.2008;2008;1;Aktejaevrie;6;200;97.3;2;0;0;Tillvekst_1-2;30.77;1.188584111;4.52381;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
63.74;96.7;2004;2;3;3;Tilvekst;3;18;654;3;17.09.2008;2008;1;Aktejaevrie;6;200;97.3;2;0;0;Tillvekst_2-3;32.97;1.100317671;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
96.7;129.67;2005;3;4;3;Tilvekst;3;18;654;3;17.09.2008;2008;1;Aktejaevrie;6;200;97.3;2;0;0;Tillvekst_3-4;32.97;1.06417414;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
129.67;164.84;2006;4;5;3;Tilvekst;3;18;654;3;17.09.2008;2008;1;Aktejaevrie;6;200;97.3;2;0;0;Tillvekst_4-5;35.16;1.049328449;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
164.84;10;2007;5;6;3;Tilvekst;3;18;654;3;17.09.2008;2008;1;Aktejaevrie;6;200;97.3;2;0;0;Tillvekst_5-6;24.18;0.451047254;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;48.44;2005;0;1;4;Tilvekst;3;18;654;6;17.09.2008;2008;1;Aktejaevrie;3;148;36.2;1;0;0;Tillvekst_0-1;48.44;1.685204134;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
48.44;94.18;2006;1;2;4;Tilvekst;3;18;654;6;17.09.2008;2008;1;Aktejaevrie;3;148;36.2;1;0;0;Tillvekst_1-2;45.75;1.171346928;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
