vassdragNr,innsjo_nr,year,Coniferous forest,Transitional woodland-shrub,Peat bogs,Water bodies,Non-irrigated arable land,"Land principally occupied by agriculture, with significant areas of natural vegetation",Discontinuous urban fabric,Mixed forest,Sea and ocean,Broad-leaved forest,Moors and heathland,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Complex cultivation patterns,Sport and leisure facilities,Water courses,Natural grasslands,Continuous urban fabric,Industrial or commercial units,Road and rail networks and associated land,Port areas,Green urban areas,Mineral extraction sites,Pastures,NA,total_pop,pop_density
001.1M,3596,2008,76.78088997281961,1.6601795054976636,8.880225654669523,12.678704867013195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,15.058559335067626
001.1M,153486,2002,78.28765620225231,0,9.045938279985808,12.666405517761886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5.410468660004567
001.1M,153484,2002,78.27152436133466,0,9.052659232760089,12.675816405905255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5.4144685815903015
001.1M,3577,2007,76.59995646656344,1.660636327420726,9.057213613644857,12.682193592370972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3.7655752670918714
001.1M,3598,2003,78.72334280273725,0,8.535254446390589,12.741402750872156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7.234594285682041
001.1M,344,2003,88.10095079483814,0,10.375236993023114,1.5238122121387472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,8.248727280513846
001.1M,3587,2007,76.58187527486304,1.6619194995540538,9.064212114112854,12.69199311147006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3.768479441177465
001.1M,3593,2002,78.18479671948731,0,9.08879226854046,12.72641101197222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5.436024418809878
001.1M,3589,2008,76.62117581407563,1.659130449054622,9.049000459558822,12.670693277310924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,15.04870351704577
001.C1,3555,1987,93.46632237416352,0,3.562109034041315,2.97156859179517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2.2837094484400993
001.C1,3555,1998,93.46632237416352,0,3.562109034041315,2.97156859179517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09321263054857548
001.C1,3555,2002,93.46632237416352,0,3.562109034041315,2.97156859179517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3.775111537217307
001.C1,3555,2006,93.46632237416352,0,3.562109034041315,2.97156859179517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2.5167410248115383
001.1A4B,346,2003,97.36029026177415,0,0,2.639709738225831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15.23913273851994
001.B1D,331,1987,92.17376508396524,0,0,7.826234916034766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,21.07324703097614
001.1K,3602,2005,78.94016855402977,5.768177138769172,6.6723665613931,1.3958925860655025,5.2133098358081345,2.010085323934323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,8.972161624411683
001.1L,3599,2006,74.80332795320177,2.0035491033609474,1.416966140840549,21.77615680259673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.2958028590878261
001.1L,3582,2007,73.2337303294181,3.363609267327157,1.3426951352065266,22.05996526804821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1.2648082946939485
001.1L,3591,2007,73.1725373091729,3.361839218246621,1.4172669313896529,22.048356541190824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1.264147756308347
001.1L,3594,2008,73.17186730696503,3.361923178467708,1.4173023269089429,22.04890718765832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,5.944308169927003
001.1L,3601,2008,73.1665060842879,3.3625950112407668,1.417585554722906,22.05331334974842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,5.945488294378745
001.1L,344,2003,74.81527565596082,2.0025990648357936,1.4162942469396815,21.765831032263694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,2.9028474488992275
001.1L,343,2002,85.29362673683734,2.314890179747081,1.6371552855697489,10.754327797845836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2.0196410386924324
001.E4,3386,1988,82.2004455971959,0,3.0978007077793843,6.823066406359887,5.686709163436275,2.157658139181609,0.03431998604695649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,7.555507087600166
001.1J,3006,2003,68.87226175804079,2.5620800699717727,3.611974714745756,19.60974834015823,1.2286407188009385,0,0,4.115294398282511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,11.078797658592109
001.1J,3022,2005,68.6550546589324,2.5625201799855897,3.6125951739812985,19.824976897395807,1.2288517727371775,0,0,4.116001316967729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,10.96878909150589
001.1J,3014,2003,68.62196562715945,2.5652252831762876,3.61640878013674,19.845904969954812,1.230148999926758,0,0,4.1203463396459545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,11.092297260802129
001.1J,3019,2007,69.94752697456343,1.2807164012329415,3.6050206495481225,19.908640431212085,1.2396077696900822,0,0,4.018487773753329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,9.203334980769853
001.1J,3007,2005,68.77810600637162,2.557378714596154,3.5451862833958487,19.785199871107224,1.2263861925994592,0,0,4.1077429319296925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,10.946749306112638
001.1J,3012,2003,68.6534592045301,2.562650611991697,3.612779054693527,19.82598598662287,1.2289143211624265,0,0,4.116210820999388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,11.081303039455792
001.1J,3017,2008,69.94428306109815,1.2808546438719304,3.6054097814181625,19.91078940266997,1.2397415749956346,0,0,4.0189215359461565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,16.062893125721473
001.1J,3030,2008,69.93788859322109,1.2811271505598285,3.606176846036111,19.91502549870125,1.2400053347220548,0,0,4.019776576759664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,16.06652491405976
001.1J,3011,2005,68.90635520177251,2.5643964173896987,3.3409894358518883,19.83949243701224,1.2297515188847876,0,0,4.1190149890888605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,10.9767246275444
001.1J,342,2002,72.73246915772474,2.7246053288010623,3.8410999213617103,15.02684694283081,1.306579403532804,0,0,4.368399245748882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,10.782150818840693
001.2Z,3610,2007,78.40544135812245,0,15.480473822569918,0,5.1646976847306245,0.9470116872010894,0,0,0.00237544737592246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,16.990100691131623
001.1A2A,3003,2006,86.00837615446659,2.272012965620657,0.5307043618862252,0.01211740248331017,9.41597906718721,1.7608100483560092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,11.53316501269369
001.1A2A,3008,2007,84.63184306828713,3.6386446806615513,0.5312042208278296,0.01212881560220517,9.423710697425848,1.7624685171954388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,14.115379391687943
001.1A2A,3005,2002,85.99846151514234,2.273622942371237,0.5310804256222148,0.01212598902597993,9.422651347500532,1.7620577803377089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,16.28340143990438
001.1A2A,345,2002,86.03888007254591,2.267059623668102,0.5295473437618076,0.01209098465956321,9.395450767021838,1.756971208342779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,16.236326978651586
001.D2,3507,1987,76.49442450202608,2.4287854564467635,1.781243401405689,9.875183922723966,7.058610599981901,2.3617521174155964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,4.0843419422395675
001.1A3,3009,2004,83.29031408256894,0,4.1873004929697855,0,8.278193023314472,4.244192401146806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,12.583509600366254
001.1A3,3032,2004,82.93401441663917,0,4.211947712197198,0,8.269693202416493,4.5843446687471285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,12.658017089749295
001.1A3,3018,2006,82.96949475691135,0,4.189143722312567,0,8.28183704368306,4.55952447709303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,6.759942979569792
001.1A4A,3035,2005,92.362933296506,5.741178704598812,0.47918680661050495,0.00776826405192652,1.4089329282327487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,12.378864277652132
001.1A4A,3034,2004,92.36243095830378,5.741449188620691,0.4792454078909318,0.00776921405767346,1.4091052311269243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,11.715094429513105
001.1A4A,3033,2005,92.36296625566972,5.741153927487884,0.4791847385918499,0.00776823052655656,1.4089268477239802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,12.378745581062816
001.1A4A,3016,2006,92.3617227028614,5.741767255521594,0.4793440282742463,0.0077708128270217,1.4093952005157515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,5.323461344246714
