vassdragNr,innsjo_nr,year,Coniferous forest,Transitional woodland-shrub,Peat bogs,Water bodies,Non-irrigated arable land,"Land principally occupied by agriculture, with significant areas of natural vegetation",Discontinuous urban fabric,Mixed forest,Sea and ocean,Broad-leaved forest,Moors and heathland,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Complex cultivation patterns,Sport and leisure facilities,Water courses,Natural grasslands,Continuous urban fabric,Industrial or commercial units,Road and rail networks and associated land,Port areas,Green urban areas,Mineral extraction sites,Pastures,NA,total_pop,pop_density,jan_temp_mean,jan_temp_max,jan_temp_min,jan_total_precip,jan_snow_depth,feb_temp_mean,feb_temp_max,feb_temp_min,feb_total_precip,feb_snow_depth,mar_temp_mean,mar_temp_max,mar_temp_min,mar_total_precip,mar_snow_depth,apr_temp_mean,apr_temp_max,apr_temp_min,apr_total_precip,apr_snow_depth,may_temp_mean,may_temp_max,may_temp_min,may_total_precip,may_snow_depth,jun_temp_mean,jun_temp_max,jun_temp_min,jun_total_precip,jun_snow_depth,jul_temp_mean,jul_temp_max,jul_temp_min,jul_total_precip,jul_snow_depth,aug_temp_mean,aug_temp_max,aug_temp_min,aug_total_precip,aug_snow_depth,sep_temp_mean,sep_temp_max,sep_temp_min,sep_total_precip,sep_snow_depth,oct_temp_mean,oct_temp_max,oct_temp_min,oct_total_precip,oct_snow_depth,nov_temp_mean,nov_temp_max,nov_temp_min,nov_total_precip,nov_snow_depth,dec_temp_mean,dec_temp_max,dec_temp_min,dec_total_precip,dec_snow_depth
001.1M,3596,2008,76.78088997281961,1.6601795054976636,8.880225654669523,12.678704867013195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,15.058559335067626,1.267202139413513,6.516519165039085,-3.6196197509765398,153.53046405956405,152.587890625,2.3060626676712985,7.880883789062523,-4.078668975830055,67.99716032056224,171.38671875,0.6738514930971604,8.650918579101585,-8.859259033203102,96.8656934769001,94.482421875,5.982959493001317,19.37458190917971,-2.6764282226562273,66.80594531707129,33.447265625,11.95635224209039,26.752862548828148,1.8299346923828352,29.965521538084516,-7.3453647229951e-21,15.159014595879484,28.265863037109398,7.073480224609398,78.88710568031598,-7.3453647229951e-21,17.487241014870293,29.229699707031273,10.396661376953148,77.24985370556325,-7.3453647229951e-21,14.972777118477794,26.483499145507835,9.369954681396507,154.20467191627196,-7.3453647229951e-21,10.93503191206193,19.384088134765648,5.36377868652346,72.96266425280251,-7.3453647229951e-21,7.56028793499037,13.848901367187523,-0.5926040649413835,104.40614136188131,4.39453125,2.7521936204698534,8.933442687988304,-4.476171874999977,82.79664248978236,23.4375,-0.3620887182091934,6.94422302246096,-6.78545227050779,34.95233550980714,84.228515625
001.1M,153486,2002,78.28765620225231,0,9.045938279985808,12.666405517761886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5.410468660004567,-0.35101311386269174,5.323999023437523,-19.587194824218727,81.55452201361868,192.87109375,1.31363953181679,7.215276336669945,-8.730078124999977,83.9803815281428,183.59375,2.009389639413513,11.12268981933596,-10.977083587646462,38.650596214552024,134.521484375,6.470303281148304,16.94825897216799,-1.1312622070312273,37.76211822647113,-7.27919033709973e-21,11.946228958458065,22.398469543457054,4.776834106445335,85.1543364459495,-7.27919033709973e-21,15.422592459784639,24.503533935546898,7.84042892456057,88.48417518146334,-7.27919033709973e-21,16.811676300212937,26.15802917480471,9.540681457519554,132.44128808899092,-7.27919033709973e-21,19.7395815572431,26.190347290039085,13.248437500000023,45.463079522640726,-7.27919033709973e-21,13.002721193101692,22.91327819824221,3.163808441162132,47.25380219380071,-7.27919033709973e-21,3.6236812714607822,15.440728759765648,-4.641561889648415,82.39317802323853,46.142578125,-0.4996745003594185,5.99982604980471,-6.33849182128904,75.37355757454733,156.005859375,-6.145490679176888,2.2932525634765852,-21.164347076415993,33.684815029310755,308.349609375
001.1M,153484,2002,78.27152436133466,0,9.052659232760089,12.675816405905255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5.4144685815903015,-0.35101311386269174,5.323999023437523,-19.587194824218727,81.55452201361868,192.87109375,1.31363953181679,7.215276336669945,-8.730078124999977,83.9803815281428,183.59375,2.009389639413513,11.12268981933596,-10.977083587646462,38.650596214552024,134.521484375,6.470303281148304,16.94825897216799,-1.1312622070312273,37.76211822647113,-7.27919033709973e-21,11.946228958458065,22.398469543457054,4.776834106445335,85.1543364459495,-7.27919033709973e-21,15.422592459784639,24.503533935546898,7.84042892456057,88.48417518146334,-7.27919033709973e-21,16.811676300212937,26.15802917480471,9.540681457519554,132.44128808899092,-7.27919033709973e-21,19.7395815572431,26.190347290039085,13.248437500000023,45.463079522640726,-7.27919033709973e-21,13.002721193101692,22.91327819824221,3.163808441162132,47.25380219380071,-7.27919033709973e-21,3.6236812714607822,15.440728759765648,-4.641561889648415,82.39317802323853,46.142578125,-0.4996745003594185,5.99982604980471,-6.33849182128904,75.37355757454733,156.005859375,-6.145490679176888,2.2932525634765852,-21.164347076415993,33.684815029310755,308.349609375
001.1M,3577,2007,76.59995646656344,1.660636327420726,9.057213613644857,12.682193592370972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3.7655752670918714,0.28313489934453173,8.271203613281273,-13.406286621093727,107.88391468850023,86.42578125,-2.3624005953470686,5.29108581542971,-12.276117706298805,45.415424922165215,243.65234375,3.5549748205369696,13.960141754150413,-2.4561828613281023,49.146924921714685,243.408203125,7.431180975172296,18.707604980468773,-1.8687957763671648,25.204295795148823,45.41015625,10.248818518525823,18.512246704101585,3.257093048095726,79.5623664127234,-7.3453647229951e-21,16.049054760403138,28.541345214843773,7.514649963378929,95.64968399452312,-7.3453647229951e-21,15.154833114788104,21.830743408203148,9.599107360839866,189.45474656282713,-7.3453647229951e-21,15.86004694866881,24.542295074462913,6.928567504882835,80.20029090617697,-7.3453647229951e-21,11.332858043246816,19.970635986328148,4.91382751464846,81.68055014095188,-7.3453647229951e-21,7.137383889639267,14.021325683593773,0.3275199890136946,28.394947811190008,-7.3453647229951e-21,1.90472000969784,11.80231628417971,-3.4856323242187273,63.54770841738855,20.5078125,0.5047411641767212,7.879861450195335,-6.883688354492165,96.18241071139622,39.0625
001.1M,3598,2003,78.72334280273725,0,8.535254446390589,12.741402750872156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7.234594285682041,-3.6273417236984073,5.74735031127932,-21.764383697509743,44.59732225660318,344.482421875,-3.16900788715904,3.7513977050781477,-16.815451049804665,31.146111141016064,181.15234375,1.578530453097457,10.631703948974632,-6.731874847412087,24.441672844677242,195.3125,4.902182112799778,19.056207275390648,-3.5214599609374773,71.72633805903317,75.927734375,9.49694570725967,19.28082427978518,0.22823486328127274,126.91671947532868,1.220703125,15.160827869839153,23.698587036132835,8.25757751464846,122.89727826846786,-7.27919033709973e-21,17.975904595980097,26.983010864257835,12.18790206909182,122.25919328456314,-7.27919033709973e-21,16.70490696404572,26.52698669433596,7.651635742187523,31.210323197644385,-7.27919033709973e-21,12.684362157185888,20.238557434082054,3.1445709228515852,50.2305349293124,-7.3453647229951e-21,4.27638749973751,13.409814453125023,-4.423040771484352,29.706163429011667,1.220703125,3.3537932078043724,9.748223876953148,-3.636259460449196,81.20190985168207,71.533203125,1.050660931166803,6.889916992187523,-10.621969604492165,84.27981136183149,128.173828125
001.1M,344,2003,88.10095079483814,0,10.375236993023114,1.5238122121387472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,8.248727280513846,-3.6273417236984073,5.74735031127932,-21.764383697509743,44.59732225660318,344.482421875,-3.16900788715904,3.7513977050781477,-16.815451049804665,31.146111141016064,181.15234375,1.578530453097457,10.631703948974632,-6.731874847412087,24.441672844677242,195.3125,4.902182112799778,19.056207275390648,-3.5214599609374773,71.72633805903317,75.927734375,9.49694570725967,19.28082427978518,0.22823486328127274,126.91671947532868,1.220703125,15.160827869839153,23.698587036132835,8.25757751464846,122.89727826846786,-7.27919033709973e-21,17.975904595980097,26.983010864257835,12.18790206909182,122.25919328456314,-7.27919033709973e-21,16.70490696404572,26.52698669433596,7.651635742187523,31.210323197644385,-7.27919033709973e-21,12.684362157185888,20.238557434082054,3.1445709228515852,50.2305349293124,-7.3453647229951e-21,4.27638749973751,13.409814453125023,-4.423040771484352,29.706163429011667,1.220703125,3.3537932078043724,9.748223876953148,-3.636259460449196,81.20190985168207,71.533203125,1.050660931166803,6.889916992187523,-10.621969604492165,84.27981136183149,128.173828125
001.1M,3587,2007,76.58187527486304,1.6619194995540538,9.064212114112854,12.69199311147006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3.768479441177465,0.28313489934453173,8.271203613281273,-13.406286621093727,107.88391468850023,86.42578125,-2.3624005953470686,5.29108581542971,-12.276117706298805,45.415424922165215,243.65234375,3.5549748205369696,13.960141754150413,-2.4561828613281023,49.146924921714685,243.408203125,7.431180975172296,18.707604980468773,-1.8687957763671648,25.204295795148823,45.41015625,10.248818518525823,18.512246704101585,3.257093048095726,79.5623664127234,-7.3453647229951e-21,16.049054760403138,28.541345214843773,7.514649963378929,95.64968399452312,-7.3453647229951e-21,15.154833114788104,21.830743408203148,9.599107360839866,189.45474656282713,-7.3453647229951e-21,15.86004694866881,24.542295074462913,6.928567504882835,80.20029090617697,-7.3453647229951e-21,11.332858043246816,19.970635986328148,4.91382751464846,81.68055014095188,-7.3453647229951e-21,7.137383889639267,14.021325683593773,0.3275199890136946,28.394947811190008,-7.3453647229951e-21,1.90472000969784,11.80231628417971,-3.4856323242187273,63.54770841738855,20.5078125,0.5047411641767212,7.879861450195335,-6.883688354492165,96.18241071139622,39.0625
001.1M,3593,2002,78.18479671948731,0,9.08879226854046,12.72641101197222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5.436024418809878,-0.35101311386269174,5.323999023437523,-19.587194824218727,81.55452201361868,192.87109375,1.31363953181679,7.215276336669945,-8.730078124999977,83.9803815281428,183.59375,2.009389639413513,11.12268981933596,-10.977083587646462,38.650596214552024,134.521484375,6.470303281148304,16.94825897216799,-1.1312622070312273,37.76211822647113,-7.27919033709973e-21,11.946228958458065,22.398469543457054,4.776834106445335,85.1543364459495,-7.27919033709973e-21,15.422592459784639,24.503533935546898,7.84042892456057,88.48417518146334,-7.27919033709973e-21,16.811676300212937,26.15802917480471,9.540681457519554,132.44128808899092,-7.27919033709973e-21,19.7395815572431,26.190347290039085,13.248437500000023,45.463079522640726,-7.27919033709973e-21,13.002721193101692,22.91327819824221,3.163808441162132,47.25380219380071,-7.27919033709973e-21,3.6236812714607822,15.440728759765648,-4.641561889648415,82.39317802323853,46.142578125,-0.4996745003594185,5.99982604980471,-6.33849182128904,75.37355757454733,156.005859375,-6.145490679176888,2.2932525634765852,-21.164347076415993,33.684815029310755,308.349609375
001.1M,3589,2008,76.62117581407563,1.659130449054622,9.049000459558822,12.670693277310924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,15.04870351704577,1.267202139413513,6.516519165039085,-3.6196197509765398,153.53046405956405,152.587890625,2.3060626676712985,7.880883789062523,-4.078668975830055,67.99716032056224,171.38671875,0.6738514930971604,8.650918579101585,-8.859259033203102,96.8656934769001,94.482421875,5.982959493001317,19.37458190917971,-2.6764282226562273,66.80594531707129,33.447265625,11.95635224209039,26.752862548828148,1.8299346923828352,29.965521538084516,-7.3453647229951e-21,15.159014595879484,28.265863037109398,7.073480224609398,78.88710568031598,-7.3453647229951e-21,17.487241014870293,29.229699707031273,10.396661376953148,77.24985370556325,-7.3453647229951e-21,14.972777118477794,26.483499145507835,9.369954681396507,154.20467191627196,-7.3453647229951e-21,10.93503191206193,19.384088134765648,5.36377868652346,72.96266425280251,-7.3453647229951e-21,7.56028793499037,13.848901367187523,-0.5926040649413835,104.40614136188131,4.39453125,2.7521936204698534,8.933442687988304,-4.476171874999977,82.79664248978236,23.4375,-0.3620887182091934,6.94422302246096,-6.78545227050779,34.95233550980714,84.228515625
001.C1,3555,1987,93.46632237416352,0,3.562109034041315,2.97156859179517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2.2837094484400993,-12.140511453279885,3.1104675292968977,-27.841131591796852,23.970310385685423,438.4765625,-4.300000413258829,3.1273742675781477,-16.024389648437477,45.19009316452127,443.359375,-4.866738136865763,5.384057617187523,-21.714086914062477,72.38230678613178,490.234375,4.124384159512033,18.743997192382835,-5.872747802734352,28.21480691926581,423.828125,8.571245468303744,22.33637390136721,2.2677551269531477,94.09888210307926,2.9296875,11.114279429117857,20.58435974121096,5.62580261230471,172.9447238711721,-7.3453647229951e-21,15.221993095644109,26.072839355468773,8.350381469726585,47.51682625245124,-7.3453647229951e-21,12.944443516064723,21.185479736328148,7.217340087890648,121.57970606634905,-7.3453647229951e-21,10.233455997043222,17.075189208984398,2.2688995361328352,84.1340334116687,3.90625,7.813353126279765,14.272119140625023,2.2013183593750227,134.600777843783,-7.3453647229951e-21,1.425745900472009,6.88935241699221,-5.008444213867165,55.70667431697629,19.53125,-1.1095300407819764,5.88050231933596,-10.858847045898415,28.532331737991967,44.921875
