;Loknr;waterbodyID;Name of lake;moh
;1;668;Storvatnet;60
;2;36868;Melvatnet;36
;3;36878;Søvatnet;45
;4;36911;Valavatnet;38
;5;36938;Gjøvatnet;43
;6;36951;Dragavatnet;92
;7;40648;Langvatnet;162
;8;40601;Sjysjøen;168
;10;40353;Leirsjøen;205
;11;40589;Skjørsjøen;212
;12;40445;Grisbakktjørna;289
;13;38972;Langtjørna;535
;14;38881;Kjeråtjørnin;663
;15;38971;Tjønn663;663
;16;38886;Spunstjørna;488
;17;118010;Dieseltjønna;549
;18;38967;Aktejaevrie;654
;19;;Slipstikken;800
;20;;Rauenjaure;600
;21;;Gippernjaure;600
