vassdragNr,vatnLnr,year,"Land principally occupied by agriculture, with significant areas of natural vegetation",Coniferous forest,Moors and heathland,Transitional woodland-shrub,Peat bogs,Water bodies,Broad-leaved forest,Mixed forest,Sparsely vegetated areas,Sea and ocean,Discontinuous urban fabric,Non-irrigated arable land,Bare rocks,Water courses,mean_ndvi
128.EB,40648,2008,3.3738567820995047,43.94743260814149,3.730186821106915,24.920912336941868,22.820344006117946,1.2072674455922727,0,0,0,0,0,0,0,0,0.7199136185220297
128.EB,40648,2009,3.3738567820995047,43.94743260814149,3.730186821106915,24.920912336941868,22.820344006117946,1.2072674455922727,0,0,0,0,0,0,0,0,0.7480598976595535
128.EB,40601,2008,3.34802579856157,43.89540808898465,3.701627697056169,24.69571673994701,22.95718923798154,1.402032437469062,0,0,0,0,0,0,0,0,0.7181210789233914
128.EB,40601,2009,3.34802579856157,43.89540808898465,3.701627697056169,24.69571673994701,22.95718923798154,1.402032437469062,0,0,0,0,0,0,0,0,0.7470920066655447
128.EAZ,40589,2008,4.010918548889632,33.593503057013066,36.34978189995394,10.75982804865934,4.236694994084657,0.13614319645260048,6.081514327773212,1.5434077793531955,3.288208147820354,0,0,0,0,0,0.6955120033752368
128.EAZ,40589,2009,4.010918548889632,33.593503057013066,36.34978189995394,10.75982804865934,4.236694994084657,0.13614319645260048,6.081514327773212,1.5434077793531955,3.288208147820354,0,0,0,0,0,0.7311632376707511
134.56,36911,2008,21.55538798421455,51.93772097991272,3.5783000098357087,0,3.918926147628818,2.0499688535877043,0,0,6.660328098550354,10.299367926270143,0,0,0,0,0.6950625081387335
134.56,36911,2009,21.55538798421455,51.93772097991272,3.5783000098357087,0,3.918926147628818,2.0499688535877043,0,0,6.660328098550354,10.299367926270143,0,0,0,0,0.6822011693443413
134.56,36938,2008,21.896653572636808,52.41187823078096,3.634951769446914,0,4.598686390096917,0.22962756512395505,0,0,6.765774624927036,10.462427846987408,0,0,0,0,0.6979556037710091
134.56,36938,2009,21.896653572636808,52.41187823078096,3.634951769446914,0,4.598686390096917,0.22962756512395505,0,0,6.765774624927036,10.462427846987408,0,0,0,0,0.6829972180805762
134.31A,36951,2008,24.40062677994781,37.5186187009211,2.0343537374435483,0,5.344609811608537,6.381001179680891,0.2740672775586564,8.575922593868041,6.037821284303094,0,0.04647227749907651,9.386506357169242,0,0,0.7321040096799468
134.31A,36951,2009,24.40062677994781,37.5186187009211,2.0343537374435483,0,5.344609811608537,6.381001179680891,0.2740672775586564,8.575922593868041,6.037821284303094,0,0.04647227749907651,9.386506357169242,0,0,0.7144086077681795
135.1A0,36878,2008,16.15112203230586,52.62349582625664,0,0.33136992736602466,0.3877425649550103,4.3869475662197805,4.96368301232248,0,21.155639070574207,0,0,0,0,0,0.731910954128598
135.1A0,36878,2009,16.15112203230586,52.62349582625664,0,0.33136992736602466,0.3877425649550103,4.3869475662197805,4.96368301232248,0,21.155639070574207,0,0,0,0,0,0.7015006668494282
135.1AB,668,2008,0,60.12873340176239,0,0,0,9.846093775420558,0.5649834498303571,0,29.46018937298669,0,0,0,0,0,0.6711250189402587
135.1AB,668,2009,0,60.12873340176239,0,0,0,9.846093775420558,0.5649834498303571,0,29.46018937298669,0,0,0,0,0,0.6227916802311884
135.1AA,668,2008,3.9972920768404254,79.6849865535467,0,0,0,16.31772136961288,0,0,0,0,0,0,0,0,0.7237132457250393
135.1AA,668,2009,3.9972920768404254,79.6849865535467,0,0,0,16.31772136961288,0,0,0,0,0,0,0,0,0.691037498705119
135.1AA,36868,2008,4.43236443273173,87.39916531608259,0,0,0,8.168470251185683,0,0,0,0,0,0,0,0,0.7563106834942682
135.1AA,36868,2009,4.43236443273173,87.39916531608259,0,0,0,8.168470251185683,0,0,0,0,0,0,0,0,0.7260739028996916
139.BAD2,40445,2008,0,14.34565695026466,35.35030376769715,0.34898658099068736,10.563973178276468,0.5866233579298713,2.8027560434427183,1.0757477410926946,32.635677020387874,0,0,0,2.2902753599178727,0,0.5723584626648976
